licorice  lore
homeroom  hero
decadent  cant
recreant  cant
saturate  sure
baseball  sell
alkaline  kine
petition  peon
lenience  lice
cuticula  lice
mealtime  alti
porpoise  rise
tortoise  rise
bobolink  link
redialed  lira
literate  lira
laterite  lira
footnote  fone
reference fence
catatonic conic
concourse nurse
rivalries vales
retaining retag
stampeded stamp
tamperers stamp

19
